VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJSA1E27G,Yakima,Yakima,WA,98908,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,14,136961723,POINT (-120.611068 46.596645),PACIFICORP,53077000401
5UXTS1C08M,King,Bellevue,WA,98006,2021,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,0,41,141984146,POINT (-122.144149 47.560742),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024901
1N4BZ0CP7H,Kitsap,Poulsbo,WA,98370,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,23,167129224,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035090502
1N4AZ0CPXD,Thurston,Olympia,WA,98501,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,22,5617937,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010100
5YJXCDE2XJ,Kitsap,Poulsbo,WA,98370,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,23,203453883,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035940100
5YJ3E1EA2J,Yakima,Naches,WA,98937,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,14,190294891,POINT (-120.7451856 46.7416386),PACIFICORP,53077003002
WMZ23BS00P,Yakima,Yakima,WA,98902,2023,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,0,14,260726455,POINT (-120.530331 46.59534),PACIFICORP,53077000800
KNDCT3L17P,Kitsap,Bremerton,WA,98310,2023,KIA,NIRO,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,23,228680609,POINT (-122.6231895 47.5930874),PUGET SOUND ENERGY INC,53035091800
1N4AZ1CP4J,Snohomish,Bothell,WA,98012,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,1,325466319,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061052009
WA1VAAGE5K,Snohomish,Bothell,WA,98012,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204,0,21,194869692,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061051927
1G1FW6S0XH,Thurston,Olympia,WA,98506,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,22,259201309,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067012223
5YJ3E1EA9L,Snohomish,Bothell,WA,98012,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,44,2202798,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061052007
KNDC3DLC9P,Thurston,Lacey,WA,98503,2023,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,240395025,POINT (-122.80665 47.019564),PUGET SOUND ENERGY INC,53067011300
YV4H60CM5N,Thurston,Tumwater,WA,98512,2022,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,22,199115983,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067010910
7SAYGDEE4P,Kitsap,Kingston,WA,98346,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,23,257596132,POINT (-122.4977 47.79802),PUGET SOUND ENERGY INC,53035090202
5YJ3E1EA2J,Thurston,Olympia,WA,98502,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,35,349687754,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067011902
5YJ3E1EB5J,Kitsap,Poulsbo,WA,98370,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,23,142481209,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035090202
5YJXCDE29L,King,Burien,WA,98166,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,0,34,4951446,POINT (-122.3472273 47.4568458),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033027800
5UXKT0C57J,Kitsap,Poulsbo,WA,98370,2018,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,13,0,23,252602409,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035090502
KNDCE3LG0L,Kitsap,Bainbridge Island,WA,98110,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,23,271074352,POINT (-122.5305071 47.6400595),PUGET SOUND ENERGY INC,53035091001
5YJ3E1EAXP,Kitsap,Bremerton,WA,98312,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,35,259155340,POINT (-122.6961203 47.5759584),PUGET SOUND ENERGY INC,53035080700
JTJAAAAB9R,Thurston,Lacey,WA,98516,2024,LEXUS,RZ,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,267010523,POINT (-122.75103 47.08149),PUGET SOUND ENERGY INC,53067012226
5YJ3E1EB0J,King,Seattle,WA,98126,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,34,148845742,POINT (-122.3752214 47.5465949),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010701
1N4CZ1CV3S,Yakima,Zillah,WA,98953,2025,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,273676672,POINT (-120.2658133 46.4063477),PACIFICORP,53077002201
KMHC75LJ2L,Kitsap,Bremerton,WA,98311,2020,HYUNDAI,IONIQ,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,170,0,23,270084895,POINT (-122.636245 47.62806),PUGET SOUND ENERGY INC,53035091900
7SAYGDEE7P,Yakima,Yakima,WA,98908,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,240646983,POINT (-120.611068 46.596645),PACIFICORP,53077000401
5YJXCDE2XL,Snohomish,Snohomish,WA,98296,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,0,44,5001832,POINT (-122.121841 47.841036),PUGET SOUND ENERGY INC,53061052008
WBY1Z4C58F,King,Seattle,WA,98116,2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,34,143756140,POINT (-122.395519 47.572137),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009802
JM3KKDHA7R,Snohomish,Lake Stevens,WA,98258,2024,MAZDA,CX-90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,39,245826283,POINT (-122.0816912 48.0122934),PUGET SOUND ENERGY INC,53061053603
1N4AZ0CPXG,Kitsap,Suquamish,WA,98392,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,23,210366880,POINT (-122.5591128 47.7346457),PUGET SOUND ENERGY INC,53035940100
1G1FZ6S07L,Kitsap,Olalla,WA,98359,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,26,122683452,POINT (-122.5730403 47.4282964),PUGET SOUND ENERGY INC,53035092802
